x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s,ROI,SequenceID,EnterExitFlag
0.465975,0.544581,0.0,2025-01-23 15:20:40.665,9166.0,122.0,-2.041500000000002,2.674859999999999,-0.968520000000001,-0.455700000000002,1.0703707210121192,7.520169000085144,36.79747336769324,KW_n2q3_3,10,
0.45921,0.54312,0.0,2025-01-23 15:20:40.788,9289.0,123.0,-2.4473999999999996,2.587200000000003,-0.4735500000000014,-0.1022699999999954,0.484467496742558,3.3760801166728505,36.79747336769324,KW_n2q3_3,10,
0.4803769999999999,0.542369,0.0,2025-01-23 15:20:40.910,9411.0,122.0,-1.1773800000000068,2.5421399999999994,1.4816899999999995,-0.0525700000000046,1.482622292089256,10.416550061516965,36.79747336769324,KW_n2q3_3,10,
0.484178,0.545266,0.0,2025-01-23 15:20:41.033,9534.0,123.0,-0.9493200000000002,2.7159600000000017,0.2660700000000038,0.2027900000000038,0.3345400260058631,2.3312893798318157,36.79747336769324,KW_n2q3_3,10,
0.4633009999999999,0.551732,0.0,2025-01-23 15:20:41.155,9656.0,122.0,-2.201940000000006,3.10392,-1.4613900000000024,0.4526199999999978,1.5298776410223156,10.748554854957748,36.79747336769324,KW_n2q3_3,10,
0.4925959999999999,0.4719389999999999,0.0,2025-01-23 15:20:41.277,9778.0,122.0,-0.44424000000000463,-1.6836600000000068,2.0506499999999974,-5.58551,5.950049359677615,41.80362547782874,36.79747336769324,KW_n2q3_3,10,
0.4739979999999999,0.509078,0.0,2025-01-23 15:20:41.399,9900.0,122.0,-1.5601200000000048,0.5446800000000018,-1.3018600000000002,2.599730000000002,2.9074792402526297,20.427254615358105,36.79747336769324,KW_n2q3_3,10,
0.454511,0.525681,0.0,2025-01-23 15:20:41.521,10022.0,122.0,-2.72934,1.5408599999999972,-1.3640899999999945,1.1622100000000035,1.792058484592507,12.590574833202584,36.79747336769324,KW_n2q3_3,10,
0.458028,0.527402,0.0,2025-01-23 15:20:41.643,10144.0,122.0,-2.5183200000000006,1.6441200000000022,0.2461899999999994,0.1204699999999974,0.2740849083769464,1.9256550939832562,36.79747336769324,KW_n2q3_3,10,
0.460542,0.530275,0.0,2025-01-23 15:20:41.766,10267.0,123.0,-2.3674799999999996,1.8165000000000031,0.1759799999999972,0.2011100000000016,0.267234340046334,1.862260209382133,36.79747336769324,KW_n2q3_3,10,
0.3891059999999999,0.536066,0.0,2025-01-23 15:20:41.888,10389.0,122.0,-6.653640000000006,2.1639600000000025,-5.000520000000001,0.4053699999999995,5.016923868995822,35.247708681469526,36.79747336769324,KW_n2q3_3,10,Exit
0.187867,0.537189,0.0,2025-01-23 15:20:42.010,10511.0,122.0,-18.72798,2.2313400000000017,-14.086729999999996,0.0786099999999976,14.086949337063716,98.9715410098153,36.79747336769324,KW_n2q3_2,11,Enter
0.183729,0.5291339999999999,0.0,2025-01-23 15:20:42.132,10633.0,122.0,-18.976259999999996,1.748039999999993,-0.2896600000000013,-0.5638500000000022,0.6339004165482172,4.453632903149103,36.79747336769324,KW_n2q3_2,11,Exit
